Window,Sigma,PSI,KL,Wasserstein,ADE,FDE,Alert
0,0.0,0.0,0.0,0.0,0.44598544547532465,0.5508911296782918,GREEN
1,0.0,0.5197856120094777,0.33183153236207175,0.010167416889387689,0.41267739057656183,0.46923655889769816,RED
2,0.0,0.8286029020946855,0.44674078239675624,0.014350815858276822,0.3668242634870328,0.47740475742625543,RED
3,0.01,1.6508223590190831,0.5757302309930608,0.036813968735785546,0.36606965238628353,0.47139878080707454,RED
4,0.02,0.8098685346407387,0.459587196169877,0.0175987126093817,0.3923997324367902,0.5454320883919527,RED
5,0.05,0.6501840753758721,0.4717141987000043,0.011328276237582102,0.45091642186996783,0.5744923491871103,RED
6,0.05,0.4260243524741424,0.28506481721372606,0.012936222516462443,0.48897329719776805,0.6058402736960574,RED
7,0.1,1.1141072563623167,0.3525959055223859,0.022640970387854703,0.5630619764202626,0.7574502643040693,RED
8,0.1,1.609948632415762,0.5649091635907015,0.025995603698452937,0.5573733651060466,0.7752137808446852,RED
9,0.2,0.39878156784927554,0.7249832719765474,0.01072589131866684,0.7788799344338189,1.0778653393189113,RED
