Condition,ADE,FDE,ADE_delta_%,FDE_delta_%
Clean Baseline,0.3691,0.4776,0.0,0.0
Jittering Augmentation,0.4825,0.5312,30.7128,11.2364
Temp Scaling (T=1.2),0.4059,0.5135,9.9751,7.5363
FGSM ε=0.001,0.4528,0.5359,22.673,12.2074
FGSM ε=0.005,0.5659,0.5911,53.3051,23.7651
FGSM ε=0.01,0.6695,0.6465,81.3742,35.3821
FGSM ε=0.02,0.8098,0.7232,119.4028,51.4427
FGSM ε=0.05,1.1935,1.1115,223.3504,132.7451
FGSM ε=0.1,4.0247,3.2521,990.3937,580.977
PGD-10 ε=0.001,0.4541,0.5423,23.0398,13.5604
PGD-10 ε=0.005,0.5762,0.585,56.1147,22.489
PGD-10 ε=0.01,0.6955,0.6561,88.4405,37.388
PGD-10 ε=0.02,0.8315,0.7264,125.2812,52.1145
PGD-10 ε=0.05,1.1927,1.1364,223.1312,137.9515
PGD-10 ε=0.1,6.2976,4.4124,1606.19,823.957
